CMDLINE cat /tmp/tif-only.log
MEM 0.558594 1447638141.6733
MEM 0.734375 1447638141.7745
MEM 0.734375 1447638141.8755
MEM 0.734375 1447638141.9796
MEM 0.734375 1447638142.0819
MEM 0.734375 1447638142.1835
MEM 0.734375 1447638142.2892
MEM 0.734375 1447638142.3918
MEM 0.734375 1447638142.4922
MEM 0.734375 1447638142.5963
MEM 0.734375 1447638142.6992
MEM 0.734375 1447638142.7995
MEM 0.734375 1447638142.9000
MEM 0.734375 1447638143.0006
MEM 0.734375 1447638143.1037
MEM 0.734375 1447638143.2047
MEM 0.734375 1447638143.3095
MEM 0.734375 1447638143.4116
MEM 0.734375 1447638143.5131
MEM 0.734375 1447638143.6147
MEM 0.734375 1447638143.7195
MEM 0.734375 1447638143.8201
MEM 0.734375 1447638143.9208
MEM 0.734375 1447638144.0230
MEM 0.734375 1447638144.1281
MEM 0.734375 1447638144.2295
MEM 0.734375 1447638144.3332
MEM 0.734375 1447638144.4339
MEM 0.734375 1447638144.5359
MEM 0.734375 1447638144.6394
MEM 0.734375 1447638144.7425
MEM 0.734375 1447638144.8448
MEM 0.734375 1447638144.9486
MEM 0.734375 1447638145.0489
MEM 0.734375 1447638145.1492
MEM 0.734375 1447638145.2517
MEM 0.734375 1447638145.3530
MEM 0.734375 1447638145.4579
MEM 0.734375 1447638145.5588
MEM 0.734375 1447638145.6602
MEM 0.734375 1447638145.7646
MEM 0.734375 1447638145.8664
MEM 0.734375 1447638145.9665
MEM 0.734375 1447638146.0678
MEM 0.734375 1447638146.1729
MEM 0.734375 1447638146.2755
MEM 0.734375 1447638146.3806
MEM 0.734375 1447638146.4816
MEM 0.734375 1447638146.5839
MEM 0.734375 1447638146.6846
MEM 0.734375 1447638146.7880
MEM 0.734375 1447638146.8883
MEM 0.734375 1447638146.9916
MEM 0.734375 1447638147.0967
MEM 0.734375 1447638147.1987
MEM 0.734375 1447638147.3014
MEM 0.734375 1447638147.4030
MEM 0.734375 1447638147.5055
MEM 0.734375 1447638147.6058
MEM 0.734375 1447638147.7105
